Output of question3
 England : 12
 All : 12
 mine : 12
 suppose : 12
 cant : 12
 fell : 12
 broken : 12
 town : 12
 butler : 12
 explanation : 12
 unless : 12
 assure : 12
 stared : 12
 gate : 12
 earth : 12
 evident : 12
 information : 12
 lonely : 12
 ten : 12
 became : 12
 questions : 12
 hold : 11
 example : 11
 want : 11
 wind : 11
 Laura : 11
 shadow : 11
 open : 11
 expression : 11
 past : 11
 imagine : 11
 swiftly : 11
 Miss : 11
 Oh : 11
 led : 11
 singular : 11
 surely : 11
 meant : 11
 rooms : 11
 horror : 11
 observed : 11
 received : 11
 speak : 11
 hall : 11
 breakfast : 11
 food : 11
 fortune : 11
 terrible : 11
 hundred : 11
 need : 11
 broad : 11
 likely : 11
 Where : 11
 talk : 11
 miles : 11
 green : 11
 pair : 11
 affair : 11
 none : 11
 plans : 11
 Come : 11
 Selden : 11
 appearance : 11
 almost : 11
 twice : 11
 goes : 11
 crime : 11
 events : 11
 mire : 11
 L : 11
 view : 11
 difficult : 11
 beast : 11
 yellow : 10
 wrong : 10
 best : 10
 nature : 10
 steps : 10
 inside : 10
 walking : 10
 observe : 10
 around : 10
 appointment : 10
 Lestrade : 10
 affairs : 10
 telegram : 10
 private : 10
 OR : 10
 Look : 10
 considerable : 10
 bring : 10
 interview : 10
 scene : 10
 thick : 10
 latter : 10
 brown : 10
 felt : 10
 Hotel : 10
 beyond : 10
 station : 10
 trees : 10
 Was : 10
 melancholy : 10
 following : 10
 started : 10
 confess : 10
 importance : 10
 distant : 10
 lost : 10
 drew : 10
 explain : 10
 presume : 10
 character : 10
 deal : 10
 soul : 10
 sprang : 10
 driving : 10
 table : 10
 statement : 10
 purpose : 10
 vague : 10
 obvious : 10
 exceedingly : 10
 granite : 10
 yonder : 10
 Theres : 10
 James : 10
 dinner : 10
 picture : 10
 today : 10
 difficulty : 10
 Times : 10
 conversation : 10
 Barrymores : 10
 huts : 10
 wall : 10
 Hound : 10
 four : 9
 Etexts : 9
 hat : 9
 sign : 9
 yards : 9
 spot : 9
 natural : 9
 dare : 9
 sank : 9
 countryside : 9
 number : 9
 guess : 9
 pale : 9
 animal : 9
 shone : 9
 placed : 9
 problem : 9
 neighbours : 9
 above : 9
 hills : 9
 live : 9
 nor : 9
 drove : 9
 tomorrow : 9
 journey : 9
 dreadful : 9
 foot : 9
 game : 9
 dull : 9
 skull : 9
 oclock : 9
 cause : 9
 impression : 9
 shoulders : 9
 began : 9
 single : 9
 page : 9
 whose : 9
 roof : 9
 features : 9
 modern : 9
 visitor : 9
 bad : 9
 suggested : 9
 appeared : 9
 form : 9
 answered : 9
 marks : 9
 sake : 9
 making : 9
 police : 9
 carry : 9
 trace : 9
 shot : 9
 corner : 9
 companion : 9
 money : 9
 practical : 9
 important : 9
 Only : 9
 particular : 9
 middle : 9
 pleasure : 9
 mystery : 9
 please : 9
 sort : 9
 Henrys : 9
 account : 9
 knowledge : 9
 taking : 9
 plain : 9
 estate : 9
 amid : 9
 glanced : 9
 gloom : 9
 trust : 9
 suggest : 9
 hung : 9
 presence : 9
 suspicions : 9
 flushed : 9
 These : 9
 later : 9
 detective : 9
 afterwards : 9
 womans : 9
 follow : 9
 sun : 9
 tragedy : 9
 fallen : 9
 windows : 9
 called : 9
 narrative : 9
 folk : 9
 centre : 9
 promise : 9
 thunder : 8
 fingers : 8
 pocket : 8
 Thank : 8
 Surely : 8
 chair : 8
 Who : 8
 note : 8
 situation : 8
 cunning : 8
 keeping : 8
 gazed : 8
 play : 8
 sometimes : 8
 devil : 8
 influence : 8
 moorland : 8
 move : 8
 false : 8
 study : 8
 aware : 8
 order : 8
 safe : 8
 amazement : 8
 manner : 8
 unable : 8
 throat : 8
 farther : 8
 asking : 8
 Let : 8
 months : 8
 change : 8
 write : 8
 impossible : 8
 remained : 8
 notice : 8
 gentlemen : 8
 inquiry : 8
 lie : 8
 copyright : 8
 missing : 8
 empty : 8
 savage : 8
 fears : 8
 supernatural : 8
 sorry : 8
 net : 8
 county : 8
 arms : 8
 points : 8
 ears : 8
 entered : 8
 opportunity : 8
 Cartwright : 8
 father : 8
 step : 8
 silence : 8
 wonder : 8
 mark : 8
 sudden : 8
 grim : 8
 cabman : 8
 blood : 8
 easily : 8
 pleasant : 8
 extraordinary : 8
 burned : 8
 simple : 8
 forward : 8
 Regent : 8
 lamp : 8
 criminal : 8
 occasion : 8
 mentioned : 8
 risk : 8
 experience : 8
 hunt : 8
 everything : 8
 serious : 8
 cleared : 8
 written : 8
 Northumberland : 8
 duty : 8
 glimpse : 8
 finding : 8
 attention : 8
 lower : 8
 rare : 8
 foul : 7
 reports : 7
 service : 7
 happy : 7
 wicked : 7
 seriously : 7
 printed : 7
 moorgate : 7
 Charing : 7
 act : 7
 slopes : 7
 pass : 7
 action : 7
 beautiful : 7
 sense : 7
 signs : 7
 Halloa : 7
 incident : 7
 early : 7
 eager : 7
 fresh : 7
 receive : 7
 opinion : 7
 allow : 7
 beneath : 7
 clearly : 7
 letters : 7
 South : 7
 red : 7
 pursuit : 7
 smoke : 7
 glance : 7
 ordinary : 7
 law : 7
 victim : 7
 Some : 7
 holding : 7
 Just : 7
 appears : 7
 marked : 7
 raised : 7
 hurried : 7
 shown : 7
 caught : 7
 article : 7
 real : 7
 wagonette : 7
 tried : 7
 actually : 7
 stopped : 7
 heavens : 7
 probable : 7
 address : 7
 Holmess : 7
 lips : 7
 remains : 7
 keen : 7
 desperate : 7
 examined : 7
 living : 7
 stay : 7
 naturalist : 7
 leaned : 7
 medical : 7
 subject : 7
 thoughts : 7
 yours : 7
 shoulder : 7
 tall : 7
 TO : 7
 examine : 7
 sitting : 7
 eye : 7
 carefully : 7
 fine : 7
 Thats : 7
 Yet : 7
 corridor : 7
 yesterday : 7
 spent : 7
 shape : 7
 acquaintance : 7
 Nothing : 7
 remembered : 7
 Cross : 7
 prepared : 7
 approached : 7
 calling : 7
 boulders : 7
 value : 7
 watched : 7
 rise : 7
 revolver : 7
 feelings : 7
 hospital : 7
 laid : 7
 tor : 7
 top : 7
 peasants : 7
 Etext : 7
 Tell : 7
 escape : 7
 papers : 7
 passage : 7
 clouds : 7
 married : 7
 copy : 7
 whence : 7
 stand : 7
 rising : 7
 adventure : 7
 expect : 7
 nights : 7
 reasons : 7
 YOU : 7
 try : 7
 necessary : 7
 Every : 7
 initials : 7
 getting : 7
 PROJECT : 7
 covered : 7
 fled : 7
 unknown : 7
 watching : 7
 opening : 7
 wild : 7
 happened : 7
 sky : 7
 etexts : 6
 telescope : 6
 Please : 6
 feeling : 6
 mouth : 6
 John : 6
 fairly : 6
 easy : 6
 desire : 6
 proved : 6
 prevent : 6
 falling : 6
 conscious : 6
 emotion : 6
 lurking : 6
 bright : 6
 arrival : 6
 scientific : 6
 puzzled : 6
 accept : 6
 intended : 6
 heads : 6
 Has : 6
 fire : 6
 cigar : 6
 Both : 6
 Of : 6
 OF : 6
 peeped : 6
 age : 6
 summit : 6
 legal : 6
 paid : 6
 Doyle : 6
 books : 6
 wire : 6
 neighbour : 6
 identity : 6
 stooped : 6
 become : 6
 hiding : 6
 naturally : 6
 child : 6
 worth : 6
 presentation : 6
 worn : 6
 somewhere : 6
 deeply : 6
 terror : 6
 upper : 6
 cost : 6
 ended : 6
 year : 6
 space : 6
 Even : 6
 expanse : 6
 forever : 6
 professional : 6
 seldom : 6
 burst : 6
 cared : 6
 touch : 6
 pounds : 6
 start : 6
 describe : 6
 excuse : 6
 event : 6
 pretty : 6
 seeing : 6
 An : 6
 telling : 6
 America : 6
 special : 6
 times : 6
 beg : 6
 Good : 6
 minds : 6
 practitioner : 6
 effect : 6
 lose : 6
 lives : 6
 dry : 6
 stop : 6
 unfortunate : 6
 settled : 6
 Are : 6
 afternoon : 6
 delivered : 6
 refused : 6
 wait : 6
 neck : 6
 pointed : 6
 forget : 6
 Dartmoor : 6
 search : 6
 narrow : 6
 remain : 6
 sharp : 6
 advice : 6
 contrary : 6
 scattered : 6
 unhappy : 6
 common : 6
 expert : 6
 often : 6
 hoped : 6
 Perhaps : 6
 May : 6
 putting : 6
 shock : 6
 giving : 6
 others : 6
 mention : 6
 request : 6
 fixed : 6
 helped : 6
 alive : 6
 supreme : 6
 school : 6
 direct : 6
 shadows : 6
 free : 6
 murder : 6
 watch : 6
 complex : 6
 remarkable : 6
 charge : 6
 science : 6
 quick : 6
 memory : 6
 onward : 6
 quiet : 6
 cast : 6
 week : 6
 driven : 6
 relief : 6
 except : 6
 Since : 6
 grass : 6
 curve : 6
 Tor : 6
 mission : 6
 fancy : 6
 cigarette : 6
 wrote : 6
 due : 6
 moving : 6
 warning : 6
 practice : 6
 trap : 6
 nearer : 6
 ones : 6
 closed : 6
 cross : 6
 explained : 5
 circumstances : 5
 ring : 5
 University : 5
 eagerly : 5
 stealthy : 5
 played : 5
 distribute : 5
 gloomy : 5
 minute : 5
 honour : 5
 angry : 5
 pulled : 5
 square : 5
 investigation : 5
 million : 5
 indicate : 5
 2 : 5
 future : 5
 imagined : 5
 keenly : 5
 breath : 5
 wants : 5
 thousand : 5
 intimate : 5
 wits : 5
 Small : 5
 handsome : 5
 smile : 5
 clock : 5
 company : 5
 diningroom : 5
 panting : 5
 upstairs : 5
 marriage : 5
 plan : 5
 closely : 5
 knowing : 5
 couple : 5
 suit : 5
 considerably : 5
 Whats : 5
 tuft : 5
 ago : 5
 concerned : 5
 involved : 5
 confidence : 5
 rode : 5
 halted : 5
 traces : 5
 jagged : 5
 length : 5
 manuscript : 5
 scent : 5
 listened : 5
 inquest : 5
 colour : 5
 indications : 5
 excitement : 5
 details : 5
 triumph : 5
 lad : 5
 break : 5
 carried : 5
 footsteps : 5
 forced : 5
 grave : 5
 drawn : 5
 aid : 5
 mistake : 5
 Among : 5
 rain : 5
 becoming : 5
 slope : 5
 interested : 5
 regret : 5
 discover : 5
 assistance : 5
 prove : 5
 intently : 5
 incidents : 5
 acknowledge : 5
 lies : 5
 care : 5
 tragic : 5
 anger : 5
 postmaster : 5
 wheels : 5
 comes : 5
 Would : 5
 Rodger : 5
 throw : 5
 central : 5
 moved : 5
 month : 5
 safety : 5
 expecting : 5
 probability : 5
 miss : 5
 Nature : 5
 useless : 5
 probably : 5
 forgotten : 5
 signal : 5
 fathers : 5
 wished : 5
 Ah : 5
 completely : 5
 outline : 5
 tobacco : 5
 state : 5
 spaniel : 5
 Any : 5
 motive : 5
 However : 5
 didnt : 5
 Never : 5
 Waterloo : 5
 Dont : 5
 active : 5
 fantastic : 5
 ghastly : 5
 personal : 5
 weeks : 5
 street : 5
 Princetown : 5
 weary : 5
 human : 5
 elderly : 5
 nerve : 5
 laws : 5
 favour : 5
 effort : 5
 thank : 5
 maid : 5
 sooner : 5
 lunch : 5
 rock : 5
 Already : 5
 especially : 5
 nearly : 5
 seat : 5
 whispered : 5
 offered : 5
 served : 5
 brute : 5
 arranged : 5
 fall : 5
 ladys : 5
 orchard : 5
 responsibility : 5
 rounded : 5
 divorce : 5
 express : 5
 remove : 5
 task : 5
 baronets : 5
 Excellent : 5
 hopes : 5
 dogged : 5
 mottled : 5
 thrill : 5
 blazing : 5
 Print : 5
 unlikely : 5
 difficulties : 5
 laugh : 5
 material : 5
 hair : 5
 rushed : 5
 dangerous : 5
 Go : 5
 shining : 5
 property : 5
 leaves : 5
 visible : 5
 writing : 5
 wanted : 5
 fashion : 5
 laughed : 5
 reputation : 5
 swept : 5
 faces : 5
 expense : 5
 expected : 5
 catch : 5
 characters : 5
 Again : 5
 companions : 5
 Ha : 5
 disappeared : 5
 steadily : 5
 medium : 5
 remarked : 5
 leads : 5
 advantage : 5
 October : 5
 local : 5
 1 : 5
 succeeded : 5
 theory : 5
 gives : 5
 uncle : 5
 definite : 5
 satisfaction : 5
 spirit : 5
 driver : 5
 included : 5
 induce : 5
 horses : 5
 isnt : 5
 inquiries : 5
 fate : 5
 weight : 5
 thrown : 5
 added : 5
 lying : 5
 stones : 5
 arm : 5
 sending : 5
 usually : 5
 edge : 5
 understood : 5
 files : 5
 twentythree : 5
 leaving : 5
 bitterly : 5
 dripping : 5
 villain : 5
 six : 5
 flew : 5
 Can : 5
 tenant : 5
 deny : 5
 chanced : 5
 joy : 5
 Lafter : 5
 Perkins : 5
 cries : 5
 Far : 5
 below : 5
 conclusion : 5
 NOT : 4
 golden : 4
 stern : 4
 hurt : 4
 glass : 4
 hot : 4
 beauty : 4
 Another : 4
 wine : 4
 bringing : 4
 hidden : 4
 admirable : 4
 silver : 4
 series : 4
 saying : 4
 rich : 4
 release : 4
 result : 4
 extent : 4
 pity : 4
 adventures : 4
 rushing : 4
 begin : 4
 Between : 4
 First : 4
 dollars : 4
 son : 4
 floor : 4
 chain : 4
 exact : 4
 instantly : 4
 spoken : 4
 sad : 4
 tastes : 4
 apparition : 4
 thickly : 4
 west : 4
 engaged : 4
 ivy : 4
 sprung : 4
 agree : 4
 fright : 4
 Canada : 4
 luck : 4
 fatal : 4
 learn : 4
 rapidly : 4
 hounds : 4
 risen : 4
 stairs : 4
 Had : 4
 indifference : 4
 enemy : 4
 firm : 4
 pressed : 4
 chase : 4
 alert : 4
 methods : 4
 sides : 4
 land : 4
 shrugged : 4
 anxious : 4
 thats : 4
 carrying : 4
 bent : 4
 lock : 4
 mysteries : 4
 outlined : 4
 thrust : 4
 owner : 4
 steep : 4
 rough : 4
 pause : 4
 lucky : 4
 pistol : 4
 email : 4
 staring : 4
 avoid : 4
 passion : 4
 gazing : 4
 mere : 4
 ink : 4
 repeat : 4
 footprints : 4
 established : 4
 plot : 4
 theories : 4
 impassive : 4
 bank : 4
 forty : 4
 mercy : 4
 powers : 4
 portraits : 4
 convenient : 4
 maiden : 4
 depends : 4
 innocent : 4
 moan : 4
 Vandeleur : 4
 bore : 4
 post : 4
 formidable : 4
 generosity : 4
 physical : 4
 brows : 4
 presented : 4
 curse : 4
 Dear : 4
 towers : 4
 hesitated : 4
 grassy : 4
 honest : 4
 GUTENBERGtm : 4
 fifty : 4
 stair : 4
 attached : 4
 3 : 4
 justified : 4
 blame : 4
 absence : 4
 heels : 4
 passing : 4
 thinking : 4
 using : 4
 prepare : 4
 moonlight : 4
 loose : 4
 takes : 4
 hurry : 4
 stayed : 4
 None : 4
 houses : 4
 grew : 4
 conditions : 4
 Certainly : 4
 whatever : 4
 utmost : 4
 guide : 4
 sombre : 4
 wicketgate : 4
 surmise : 4
 cheerful : 4
 becomes : 4
 British : 4
 masters : 4
 perfectly : 4
 claim : 4
 portrait : 4
 instance : 4
 connected : 4
 gallery : 4
 neither : 4
 key : 4
 career : 4
 glowed : 4
 mistaken : 4
 mysterious : 4
 loss : 4
 sinister : 4
 recognized : 4
 carriage : 4
 piece : 4
 Shall : 4
 portion : 4
 type : 4
 rights : 4
 Indeed : 4
 arrived : 4
 anxiety : 4
 Devon : 4
 perceive : 4
 dense : 4
 Quite : 4
 burn : 4
 essential : 4
 whats : 4
 frightened : 4
 mile : 4
 finally : 4
 suffered : 4
 dim : 4
 superstition : 4
 box : 4
 bog : 4
 merely : 4
 agent : 4
 pure : 4
 Mortimers : 4
 blurred : 4
 venture : 4
 amiable : 4
 reading : 4
 FOR : 4
 stretched : 4
 mare : 4
 educated : 4
 movements : 4
 doctor : 4
 manservant : 4
 island : 4
 general : 4
 file : 4
 starting : 4
 withheld : 4
 share : 4
 needs : 4
 walls : 4
 harm : 4
 print : 4
 Poor : 4
 sittingroom : 4
 itself : 4
 alternative : 4
 matters : 4
 bit : 4
 strongest : 4
 pen : 4
 errand : 4
 constant : 4
 gravel : 4
 named : 4
 names : 4
 scandal : 4
 trail : 4
 train : 4
 ashamed : 4
 greater : 4
 warned : 4
 frank : 4
 mortal : 4
 propose : 4
 staff : 4
 madam : 4
 arrangements : 4
 success : 4
 worthy : 4
 guard : 4
 dressed : 4
 sleep : 4
 muzzle : 4
 patches : 4
 tweed : 4
 louder : 4
 blue : 4
 supplied : 4
 conduct : 4
 luggage : 4
 changes : 4
 excellent : 4
 shook : 4
 scissors : 4
 talking : 4
 habit : 4
 bed : 4
 discovery : 4
 faced : 4
 wound : 4
 shortly : 4
 agency : 4
 judge : 4
 establish : 4
 check : 4
 tin : 4
 younger : 4
 intimacy : 4
 dropped : 4
 platform : 4
 exclamation : 4
 absentminded : 4
 district : 4
 wood : 4
 farmers : 4
 ways : 4
 blow : 4
 donations : 4
 Something : 4
 West : 4
 hartpoboxcom : 4
 porter : 4
 disk : 4
 sons : 4
 list : 4
 faint : 4
 flat : 4
 breaking : 4
 instructions : 4
 forgive : 4
 dine : 4
 leading : 4
 pains : 4
 convinced : 4
 helpless : 4
 fond : 4
 heavily : 4
 Could : 4
 flight : 4
 theres : 4
 dared : 4
 intense : 4
 notes : 4
 spy : 4
 instead : 4
 choose : 4
 overtake : 4
 afraid : 4
 alarmed : 4
 closer : 4
 bought : 4
 grounds : 4
 abandoned : 4
 inch : 4
 States : 4
 recollection : 4
 owe : 4
 intention : 4
 incredible : 4
 sinking : 3
 screaming : 3
 succession : 3
 hers : 3
 Three : 3
 brings : 3
 household : 3
 effective : 3
 wing : 3
 fix : 3
 misfortune : 3
 needed : 3
 bitter : 3
 motionless : 3
 imprudent : 3
 touched : 3
 altogether : 3
 rolled : 3
 conclusions : 3
 chill : 3
 employ : 3
 disguise : 3
 bottom : 3
 shaken : 3
 respectable : 3
 support : 3
 offer : 3
 proud : 3
 smell : 3
 intent : 3
 DAMAGES : 3
 Gutenbergs : 3
 working : 3
 deserved : 3
 allowed : 3
 drunken : 3
 tors : 3
 compelled : 3
 veins : 3
 quarter : 3
 Welcome : 3
 possibility : 3
 complicated : 3
 aside : 3
 opposite : 3
 posted : 3
 2704 : 3
 sites : 3
 chap : 3
 newspaper : 3
 costs : 3
 gleam : 3
 sobbing : 3
 groom : 3
 original : 3
 Evil : 3
 paying : 3
 method : 3
 brutal : 3
 Gods : 3
 dress : 3
 trade : 3
 Michael : 3
 murmur : 3
 leanjawed : 3
 consult : 3
 determined : 3
 barren : 3
 gold : 3
 factor : 3
 sea : 3
 speed : 3
 agents : 3
 moth : 3
 dressinggown : 3
 recent : 3
 earnest : 3
 readers : 3
 Or : 3
 mighty : 3
 concealed : 3
 faded : 3
 effigy : 3
 results : 3
 continued : 3
 marry : 3
 race : 3
 bird : 3
 sharply : 3
 slip : 3
 Clayton : 3
 fits : 3
 realized : 3
 perfect : 3
 realize : 3
 Conan : 3
 glasses : 3
 wander : 3
 shut : 3
 atmosphere : 3
 Once : 3
 Fernworthy : 3
 waste : 3
 theyve : 3
 infinite : 3
 command : 3
 drawing : 3
 arrest : 3
 clipped : 3
 pressure : 3
 CarnegieMellon : 3
 diabolical : 3
 screamed : 3
 troubling : 3
 Suppose : 3
 recognize : 3
 searched : 3
 daughter : 3
 Hush : 3
 total : 3
 quivering : 3
 office : 3
 satisfied : 3
 nets : 3
 bread : 3
 lifted : 3
 schemes : 3
 forth : 3
 morass : 3
 Perfectly : 3
 dogs : 3
 See : 3
 iron : 3
 wrung : 3
 runs : 3
 explanations : 3
 kitchen : 3
 ill : 3
 concerning : 3
 ahead : 3
 humble : 3
 quoted : 3
 electronically : 3
 rustle : 3
 bound : 3
 deception : 3
 absent : 3
 guessed : 3
 promised : 3
 test : 3
 mounted : 3
 wont : 3
 domain : 3
 amusement : 3
 card : 3
 sheer : 3
 Prepared : 3
 discovered : 3
 title : 3
 gleamed : 3
 unmarried : 3
 Johnson : 3
 Were : 3
 Give : 3
 exhaustion : 3
 prehistoric : 3
 document : 3
 severe : 3
 tossing : 3
 Might : 3
 twelve : 3
 exposed : 3
 equivalent : 3
 friendship : 3
 rolling : 3
 stare : 3
 trying : 3
 building : 3
 pointing : 3
 heaven : 3
 manager : 3
 conscience : 3
 conviction : 3
 attendant : 3
 contains : 3
 history : 3
 rude : 3
 inconceivable : 3
 dream : 3
 committed : 3
 occasions : 3
 jaws : 3
 bowed : 3
 kindly : 3
 concentration : 3
 outhouse : 3
 clean : 3
 famous : 3
 throwing : 3
 invisible : 3
 described : 3
 Most : 3
 ought : 3
 overlooked : 3
 CCH : 3
 hotels : 3
 block : 3
 ancestors : 3
 draw : 3
 crouching : 3
 picked : 3
 cheeks : 3
 servants : 3
